"id","created_at","updated_at","start_vertex_id","end_vertex_id","cost","type","start_floor","end_floor","campus_id","cost_time"
12354,"2020-03-27 11:56:53","2021-12-21 20:13:29",4590,108,2.99,"corridor",1,1,1,0.04485
28435,"2021-09-26 23:40:34","2021-09-26 23:40:34",10186,10458,9,"stairs",0,1,3,0.135
28436,"2021-09-26 23:40:34","2021-09-26 23:40:34",10100,10460,1.42,"corridor",1,1,3,0.0213
28437,"2021-09-26 23:40:34","2021-09-26 23:40:34",10459,10460,1.15,"corridor",1,1,3,0.01725
28438,"2021-09-26 23:40:34","2021-09-26 23:40:34",10093,10459,1.47,"corridor",1,1,3,0.02205
28439,"2021-09-26 23:40:34","2021-09-26 23:40:34",7543,10462,1.95,"corridor",1,1,3,0.02925
28440,"2021-09-26 23:40:34","2021-09-26 23:40:34",10400,10462,7.86,"corridor",1,1,3,0.1179
28441,"2021-09-26 23:40:34","2021-09-26 23:40:34",10461,10462,2.75,"corridor",1,1,3,0.04125
28442,"2021-09-26 23:40:34","2021-09-26 23:40:34",10459,10461,16.79,"corridor",1,1,3,0.25185
28445,"2021-09-26 23:40:34","2021-09-26 23:40:34",10076,10463,2,"corridor",1,1,3,0.03
28446,"2021-09-26 23:40:34","2021-09-26 23:40:34",10085,10463,2,"corridor",1,1,3,0.03
28447,"2021-09-26 23:40:34","2021-09-26 23:40:34",7569,10463,1.24,"corridor",1,1,3,0.0186
28448,"2021-09-26 23:40:34","2021-09-26 23:40:34",10112,10464,2.34,"corridor",1,1,3,0.0351
28449,"2021-09-26 23:40:34","2021-09-26 23:40:34",10110,10464,2,"corridor",1,1,3,0.03
28450,"2021-09-26 23:40:34","2021-09-26 23:40:34",10108,10464,3.57,"corridor",1,1,3,0.05355
28451,"2021-09-26 23:40:34","2021-09-26 23:40:34",7534,10465,2.21,"corridor",1,1,3,0.03315
28452,"2021-09-26 23:40:35","2021-09-26 23:40:35",7532,10465,2.56,"corridor",1,1,3,0.0384
28453,"2021-09-26 23:40:35","2021-09-26 23:40:35",7552,10465,3.14,"corridor",1,1,3,0.0471
28454,"2021-09-26 23:40:35","2021-09-26 23:40:35",7551,10091,9,"stairs",1,2,3,0.135
28457,"2021-09-26 23:40:35","2021-09-26 23:40:35",10467,7551,4.72,"corridor",1,1,3,0.0708
28459,"2021-09-26 23:40:35","2021-09-26 23:40:35",10466,10467,1.76,"corridor",1,1,3,0.0264
28460,"2021-09-26 23:40:35","2021-09-26 23:40:35",10466,7530,1.49,"corridor",1,1,3,0.02235
28463,"2021-09-26 23:40:35","2021-09-26 23:40:35",10472,7550,1.31,"corridor",1,1,3,0.01965
28464,"2021-09-26 23:40:35","2021-09-26 23:40:35",10470,10471,0.72,"corridor",1,1,3,0.0108
28465,"2021-09-26 23:40:35","2021-09-26 23:40:35",10470,7534,4.34,"corridor",1,1,3,0.0651
28466,"2021-09-26 23:40:35","2021-09-26 23:40:35",7535,10470,4.51,"corridor",1,1,3,0.06765
28467,"2021-09-26 23:40:35","2021-09-26 23:40:35",10474,10473,1.25,"corridor",1,1,3,0.01875
17123,"2020-09-24 14:55:07","2020-09-24 13:29:51",1052,6066,2.55,"corridor",2,2,1,0.03825
17124,"2020-09-24 14:55:07","2020-09-24 13:29:51",1028,6066,4.05,"corridor",2,2,1,0.06075
17125,"2020-09-24 14:55:07","2020-09-24 13:29:51",6066,6064,4.13,"corridor",2,2,1,0.06195
17126,"2020-09-24 14:55:07","2020-09-24 13:29:51",1060,6065,2.11,"corridor",2,2,1,0.03165
12259,,"2020-09-24 13:29:55",4542,1442,2.01,"corridor",3,3,1,0.03015
12270,,"2020-09-24 13:29:55",4546,2382,1.43,"corridor",4,4,1,0.02145
12288,,"2020-09-24 13:29:55",4562,2576,1.82,"corridor",5,5,1,0.0273
12313,,"2020-09-24 13:29:55",4555,2788,2.01,"corridor",5,5,1,0.03015
12345,"2020-03-27 11:15:03","2020-09-24 13:29:55",630,4587,10.27,"corridor",1,1,1,0.15405
8577,"2020-01-28 13:23:36","2020-09-11 08:51:42",2654,2653,1.56,"corridor",5,5,1,0.023636362769386986
8578,"2020-01-28 13:23:36","2020-09-11 08:51:42",2656,2655,2.29,"corridor",5,5,1,0.03469696911898526
8579,"2020-01-28 13:23:36","2020-09-11 08:51:42",2658,2657,2,"corridor",5,5,1,0.030303030303030304
8580,"2020-01-28 13:23:36","2020-09-11 08:51:42",2660,2659,2.11,"corridor",5,5,1,0.031969695380239777
8581,"2020-01-28 13:23:36","2020-09-11 08:51:42",2662,2661,2.2,"corridor",5,5,1,0.033333334055813874
8582,"2020-01-28 13:23:36","2020-09-11 08:51:42",2663,2644,9,"corridor",5,5,1,0.13636363636363635
8583,"2020-01-28 13:23:36","2020-09-11 08:51:42",2665,2664,18.07,"corridor",5,5,1,0.2737878741640033
4075,"2020-01-28 13:23:36","2020-09-11 08:51:42",2891,2880,9,"corridor",6,6,1,0.13636363636363635
8584,"2020-01-28 13:23:36","2020-09-11 08:51:42",2667,2666,3.99,"corridor",5,5,1,0.060454545599041565
8585,"2020-01-28 13:23:36","2020-09-11 08:51:42",2642,2668,2.52,"corridor",5,5,1,0.038181817892825966
4077,"2020-01-28 13:23:36","2020-09-11 08:51:42",2893,2894,1.62,"corridor",6,6,1,0.0245454546177026
4078,"2020-01-28 13:23:36","2020-09-11 08:51:42",2895,2896,1.67,"corridor",6,6,1,0.025303029652797814
4079,"2020-01-28 13:23:36","2020-09-11 08:51:42",2897,2898,1.82,"corridor",6,6,1,0.027575758370486172
4083,"2020-01-28 13:23:36","2020-09-11 08:51:42",2903,2904,9.49,"corridor",6,6,1,0.14378787531997217
8587,"2020-01-28 13:23:36","2020-09-11 08:51:42",2672,2671,1.97,"corridor",5,5,1,0.029848485281973175
4084,"2020-01-28 13:23:36","2020-09-11 08:51:42",2905,2906,5.96,"corridor",6,6,1,0.09030303088101474
4085,"2020-01-28 13:23:36","2020-09-11 08:51:42",2906,2907,1.13,"corridor",6,6,1,0.017121212048964066
4086,"2020-01-28 13:23:36","2020-09-11 08:51:42",2908,2909,9,"corridor",6,6,1,0.13636363636363635
4088,"2020-01-28 13:23:36","2020-09-11 08:51:42",2911,2912,2,"corridor",6,6,1,0.030303030303030304
4089,"2020-01-28 13:23:36","2020-09-11 08:51:42",2913,2914,1.89,"corridor",6,6,1,0.028636363419619473
8589,"2020-01-28 13:23:36","2020-09-11 08:51:42",2676,2675,2.19,"corridor",5,5,1,0.03318181904879483
8590,"2020-01-28 13:23:36","2020-09-11 08:51:42",2677,2676,3,"corridor",5,5,1,0.045454545454545456
25367,"2021-09-24 15:31:06","2021-09-26 23:40:57",10385,10347,9,"stairs",4,3,3,0.135
28469,"2021-09-26 23:40:35","2021-09-26 23:40:35",10473,10107,1.41,"corridor",1,1,3,0.02115
25377,"2021-09-24 15:34:56","2021-09-26 23:40:57",10325,10318,9,"stairs",3,4,3,0.135
25382,"2021-09-24 15:37:55","2021-09-26 23:40:57",8543,10359,9,"stairs",4,3,3,0.135
25391,"2021-09-24 15:49:06","2021-09-26 23:40:57",10347,10385,9,"stairs",3,4,3,0.135
25410,"2021-09-24 15:59:40","2021-09-26 23:40:57",8772,10335,9,"stairs",4,3,3,0.135
25414,"2021-09-24 16:00:35","2021-09-26 23:40:57",10390,10336,9,"stairs",4,3,3,0.135
25434,"2021-09-24 16:08:31","2021-09-26 23:40:57",10296,9086,9,"stairs",3,4,3,0.135
25438,"2021-09-24 16:11:12","2021-09-26 23:40:57",10302,10290,9,"stairs",3,2,3,0.135
25441,"2021-09-24 16:25:26","2021-09-26 23:40:57",10399,10390,9,"stairs",5,4,3,0.135
25567,"2021-09-26 18:06:55","2021-09-26 23:40:57",10458,10186,9,"stairs",1,0,3,0.135
25586,"2021-09-26 18:15:38","2021-09-26 23:40:57",10091,7551,9,"stairs",2,1,3,0.135
25641,"2021-09-26 18:45:27","2021-09-26 23:40:57",10497,7428,9,"stairs",2,3,3,0.135
8591,"2020-01-28 13:23:36","2020-09-11 08:51:42",2679,2678,2.39,"corridor",5,5,1,0.03621212280157841
8592,"2020-01-28 13:23:36","2020-09-11 08:51:42",2681,2680,1.97,"corridor",5,5,1,0.029848485281973175
8593,"2020-01-28 13:23:36","2020-09-11 08:51:42",2683,2682,3.9,"corridor",5,5,1,0.05909091053587018
8594,"2020-01-28 13:23:36","2020-09-11 08:51:42",2685,2684,2.07,"corridor",5,5,1,0.031363635352163605
8595,"2020-01-28 13:23:36","2020-09-11 08:51:42",2687,2686,1.83,"corridor",5,5,1,0.027727273377505215
8596,"2020-01-28 13:23:36","2020-09-11 08:51:42",2690,2689,1.92,"corridor",5,5,1,0.0290909084406766
8597,"2020-01-28 13:23:36","2020-09-11 08:51:42",2692,2691,2.89,"corridor",5,5,1,0.04378788037733598
8598,"2020-01-28 13:23:36","2020-09-11 08:51:42",2696,2695,1.82,"corridor",5,5,1,0.027575758370486172
8599,"2020-01-28 13:23:36","2020-09-11 08:51:42",2698,2697,2.7,"corridor",5,5,1,0.04090909163157145
8600,"2020-01-28 13:23:36","2020-09-11 08:51:42",2700,2699,2.77,"corridor",5,5,1,0.04196969668070475
8601,"2020-01-28 13:23:36","2020-09-11 08:51:42",2702,2701,2.81,"corridor",5,5,1,0.04257575670878092
8602,"2020-01-28 13:23:36","2020-09-11 08:51:42",2691,2703,1.97,"corridor",5,5,1,0.029848485281973175
4090,"2020-01-28 13:23:36","2020-09-11 08:51:42",2915,2916,8.35,"corridor",6,6,1,0.12651515729499585
8603,"2020-01-28 13:23:36","2020-09-11 08:51:42",2705,2704,1.87,"corridor",5,5,1,0.028333333405581387
8604,"2020-01-28 13:23:36","2020-09-11 08:51:42",2707,2706,1.97,"corridor",5,5,1,0.029848485281973175
8605,"2020-01-28 13:23:36","2020-09-11 08:51:42",2708,2707,1.57,"corridor",5,5,1,0.023787879582607384
8606,"2020-01-28 13:23:36","2020-09-11 08:51:42",2710,2709,1.6,"corridor",5,5,1,0.024242424603664513
8607,"2020-01-28 13:23:36","2020-09-11 08:51:42",2712,2711,1.5,"corridor",5,5,1,0.022727272727272728
8609,"2020-01-28 13:23:36","2020-09-11 08:51:42",2718,2717,2.61,"corridor",5,5,1,0.03954545295599735
8610,"2020-01-28 13:23:36","2020-09-11 08:51:42",2719,2695,1.56,"corridor",5,5,1,0.023636362769386986
8611,"2020-01-28 13:23:36","2020-09-11 08:51:42",2723,2722,2.47,"corridor",5,5,1,0.03742424285773075
8612,"2020-01-28 13:23:36","2020-09-11 08:51:42",2725,2724,2.68,"corridor",5,5,1,0.040606061617533364
8613,"2020-01-28 13:23:36","2020-09-11 08:51:42",2726,2720,2.61,"corridor",5,5,1,0.03954545295599735
8614,"2020-01-28 13:23:36","2020-09-11 08:51:42",2728,2727,2.4,"corridor",5,5,1,0.03636363780859745
8615,"2020-01-28 13:23:36","2020-09-11 08:51:42",2730,2729,2.23,"corridor",5,5,1,0.033787879076871
8616,"2020-01-28 13:23:36","2020-09-11 08:51:42",2732,2731,1.91,"corridor",5,5,1,0.02893939343365756
8617,"2020-01-28 13:23:36","2020-09-11 08:51:42",2734,2733,1.36,"corridor",5,5,1,0.020606060822804768
8618,"2020-01-28 13:23:36","2020-09-11 08:51:42",2736,2735,1.92,"corridor",5,5,1,0.0290909084406766
8619,"2020-01-28 13:23:36","2020-09-11 08:51:42",2738,2737,1.73,"corridor",5,5,1,0.02621212150111343
8620,"2020-01-28 13:23:36","2020-09-11 08:51:42",2740,2739,2.01,"corridor",5,5,1,0.030454545310049347
8621,"2020-01-28 13:23:36","2020-09-11 08:51:42",2742,2741,2.11,"corridor",5,5,1,0.031969695380239777
8622,"2020-01-28 13:23:36","2020-09-11 08:51:42",2744,2743,4.27,"corridor",5,5,1,0.06469696940797748
8623,"2020-01-28 13:23:36","2020-09-11 08:51:42",2745,2744,2.19,"corridor",5,5,1,0.03318181904879483
8624,"2020-01-28 13:23:36","2020-09-11 08:51:42",2747,2746,1.81,"corridor",5,5,1,0.027424241557265774
8625,"2020-01-28 13:23:36","2020-09-11 08:51:42",2748,2747,2.89,"corridor",5,5,1,0.04378788037733598
8626,"2020-01-28 13:23:36","2020-09-11 08:51:42",2752,2751,2.55,"corridor",5,5,1,0.038636362913883095
8627,"2020-01-28 13:23:36","2020-09-11 08:51:42",2754,2753,1.94,"corridor",5,5,1,0.029393940260916046
8628,"2020-01-28 13:23:36","2020-09-11 08:51:42",2756,2755,2.49,"corridor",5,5,1,0.03772727287176884
8629,"2020-01-28 13:23:36","2020-09-11 08:51:42",2750,2756,3.33,"corridor",5,5,1,0.050454544298576584
8630,"2020-01-28 13:23:36","2020-09-11 08:51:42",2758,2757,2,"corridor",5,5,1,0.030303030303030304
8632,"2020-01-28 13:23:36","2020-09-11 08:51:42",2762,2761,2.56,"corridor",5,5,1,0.03878787792090214
8633,"2020-01-28 13:23:36","2020-09-11 08:51:42",2763,2762,2.16,"corridor",5,5,1,0.0327272740277377
8634,"2020-01-28 13:23:36","2020-09-11 08:51:42",2765,2764,1.77,"corridor",5,5,1,0.026818181529189602
8635,"2020-01-28 13:23:36","2020-09-11 08:51:42",2767,2766,2.18,"corridor",5,5,1,0.03303030404177579
8636,"2020-01-28 13:23:36","2020-09-11 08:51:42",2769,2768,2.56,"corridor",5,5,1,0.03878787792090214
8637,"2020-01-28 13:23:36","2020-09-11 08:51:42",2771,2770,2.39,"corridor",5,5,1,0.03621212280157841
8638,"2020-01-28 13:23:36","2020-09-11 08:51:42",2773,2772,2.27,"corridor",5,5,1,0.034393939104947174
8639,"2020-01-28 13:23:36","2020-09-11 08:51:42",2775,2774,3.24,"corridor",5,5,1,0.0490909092354052
8640,"2020-01-28 13:23:36","2020-09-11 08:51:42",2777,2776,2.6,"corridor",5,5,1,0.03939393794897831
8641,"2020-01-28 13:23:36","2020-09-11 08:51:42",2779,2778,2.97,"corridor",5,5,1,0.04500000043348833
8642,"2020-01-28 13:23:36","2020-09-11 08:51:42",2780,2779,2.49,"corridor",5,5,1,0.03772727287176884
8643,"2020-01-28 13:23:36","2020-09-11 08:51:42",2782,2781,2.88,"corridor",5,5,1,0.04363636537031694
8644,"2020-01-28 13:23:36","2020-09-11 08:51:42",2784,2783,2.79,"corridor",5,5,1,0.042272726694742836
4092,"2020-01-28 13:23:36","2020-09-11 08:51:42",2917,2918,1.02,"corridor",6,6,1,0.015454545165553238
4094,"2020-01-28 13:23:37","2020-09-11 08:51:42",2921,2922,9,"corridor",6,6,1,0.13636363636363635
8645,"2020-01-28 13:23:37","2020-09-11 08:51:42",2786,2785,2.54,"corridor",5,5,1,0.03848484790686405
4095,"2020-01-28 13:23:37","2020-09-11 08:51:42",2923,2924,1.74,"corridor",6,6,1,0.026363636508132473
4096,"2020-01-28 13:23:37","2020-09-11 08:51:42",2925,2926,9,"corridor",6,6,1,0.13636363636363635
4097,"2020-01-28 13:23:37","2020-09-11 08:51:42",2927,2928,9,"corridor",6,6,1,0.13636363636363635
4098,"2020-01-28 13:23:37","2020-09-11 08:51:42",2929,2930,1.76,"corridor",6,6,1,0.02666666652217056
4099,"2020-01-28 13:23:37","2020-09-11 08:51:42",2931,2932,1.72,"corridor",6,6,1,0.026060606494094387
8646,"2020-01-28 13:23:37","2020-09-11 08:51:42",2749,2787,4.93,"corridor",5,5,1,0.07469696709603975
5618,"2020-01-28 13:23:37","2020-09-11 08:51:42",1984,1341,2,"elevator",4,3,1,0.030303030303030304
5638,"2020-01-28 13:23:37","2020-09-11 08:51:42",804,1405,2,"elevator",2,3,1,0.030303030303030304
5639,"2020-01-28 13:23:37","2020-09-11 08:51:42",291,992,2,"elevator",1,2,1,0.030303030303030304
8648,"2020-01-28 13:23:37","2020-09-11 08:51:42",2788,2790,2.95,"corridor",5,5,1,0.04469697041945024
8649,"2020-01-28 13:23:37","2020-09-11 08:51:42",2792,2791,2.5,"corridor",5,5,1,0.03787878787878788
4100,"2020-01-28 13:23:37","2020-09-11 08:51:42",2933,2934,1.58,"corridor",6,6,1,0.023939394589626427
4101,"2020-01-28 13:23:37","2020-09-11 08:51:42",2935,2936,1.83,"corridor",6,6,1,0.027727273377505215
4102,"2020-01-28 13:23:37","2020-09-11 08:51:42",2937,2938,1.81,"corridor",6,6,1,0.027424241557265774
4103,"2020-01-28 13:23:37","2020-09-11 08:51:42",2938,2939,1.63,"corridor",6,6,1,0.02469696962472164
