"id","created_at","updated_at","building_id","floor_number","bounds","room_category_id","room_type_id","code","label_position","position","default_visible","floor_id","icon","hse_id","schedule_url","campus_id"
1700,"2020-01-28 13:23:08","2021-09-17 07:32:49",12,1,"[[[1325.2,539.2],[1312,540.7],[1296.4,543.4],[1280.7,547.3],[1265.3,551.9],[1253.9,556.5],[1241.7,561.4],[1230,566.5],[1219.5,571.6],[1208,577.6],[1198.5,583.3],[1188.5,589.3],[1178.7,596.1],[1168.7,603.6],[1161.1,610.4],[1152.3,619.2],[1145.1,627.6],[1137.4,637.4],[1131.7,645.5],[1126.6,654.1],[1122.4,662.4],[1118.9,670.5],[1115.9,677.8],[1113.2,685.6],[1111.4,693.1],[1109,703.3],[1107.4,712.1],[1106.7,720.9],[1105.9,732.7],[1105.9,744.5],[1107.5,756.2],[1110,769.3],[1113.1,780.4],[1118.3,794.9],[1124.2,808.5],[1130.3,820.7],[1136.3,830.9],[1142.7,840.6],[1148.5,849.5],[1154.7,857.4],[1160.3,865.4],[1167.1,873.1],[1176.8,883.6],[1184.7,892.5],[1194.3,903.5],[1202.2,910.1],[1208.7,915],[1217.5,922.8],[1225.4,929.1],[1233.3,935.7],[1243.6,944],[1254.4,952],[1264.5,959.1],[1271.1,963.5],[1278.6,968.2],[1287,973.5],[1298.4,980],[1307.3,984.9],[1317.6,990.5],[1328.4,996.5],[1340.8,1002.1],[1354.9,1008.1],[1366.4,1012.8],[1379.9,1018.2],[1393.5,1023],[1409.9,1028.4],[1425.4,1033.3],[1444.6,1038.7],[1460.9,1043],[1471.1,1045.5],[1484.3,1047.8],[1495.8,1049.8],[1510.1,1052.3],[1527.4,1055],[1541,1056.8],[1552.4,1057.9],[1561.7,1058.8],[1574.9,1059.6],[1589.1,1059.6],[1605,1060.4],[1619.3,1060.4],[1632.7,1059.6],[1643.5,1058.8],[1654.6,1058],[1665.8,1056.5],[1675.6,1054.9],[1689,1052.6],[1706,1048.9],[1720.4,1045.1],[1734.8,1040.5],[1747.5,1036],[1759.1,1032],[1773.3,1026],[1786.2,1019.7],[1796.9,1014.1],[1807.4,1007.5],[1815,1002],[1823.1,994.9],[1829.2,989],[1835.9,982.8],[1842.7,977.5],[1888.4,990.5],[1858.8,1086.5],[1830.8,1173.9],[1814.5,1227.2],[927.5,959.4],[1101.4,284.2],[1229.3,364.3],[1234.1,357.4],[1368.1,435.9],[1347.8,479.4]],[[1941.5,1285.8],[1999.6,1076.6],[2806.5,1302.3],[2811.6,1284.5],[2974.1,1330.9],[2965,1364.2],[3366.3,1473.1],[3349.8,1532.6],[3460.9,1565.2],[3427.4,1692.6]]]",2,,"Atrium 1","[2632.9150820170116,1383.2238912515193]",,TRUE,13,,,,1
3522,"2021-09-17 13:55:03","2021-09-26 23:30:36",31,1,"[[[6170.384580612183,7409.004874706268],[6198.227819442749,7384.0334849357605],[6229.395057678223,7418.808071136475],[6201.671209335327,7443.804035186768]]]",245,,"МА_112",,,TRUE,123,,,,3
381,"2020-01-28 13:23:05","2021-09-18 18:51:20",9,2,"[[[3321.1,1844.6499999999999],[3268,1829.9499999999998],[3242.7,1921.35],[3295.9,1936.0499999999997],[3321.1,1844.6499999999999]]]",245,1542,"S219",,,TRUE,18,,,,1
4142,"2021-09-22 14:49:29","2021-10-08 15:31:03",34,5,"[[[3125.2530085468866,4014.9303733597944],[3181.849775129313,4074.256448776209],[3216.024925453039,4041.6752406213704],[3159.425020851039,3982.4379251311207]]]",245,,"ММ20_М20-525",,,TRUE,141,,,,3
4083,"2021-09-22 14:12:29","2021-10-11 09:30:05",35,4,"[[[3369.025001525879,4803.911520364012],[3319.60639337338,4859.287272690874],[3339.5562758945375,4874.537698776209],[3386.775001525879,4818.094380236485]]]",245,,"МК3_К3-410.2",,,TRUE,147,,,,3
3813,"2021-09-21 14:51:16","2021-09-26 23:29:36",32,5,"[[[2688.25,3315.0997691304733],[2673.249984741211,3368.387063070222],[2721.249984741211,3382.1446843232443],[2735.75,3328.449549711381]]]",245,,"ММ11_525г",,,TRUE,131,,,,3
3691,"2021-09-20 14:59:22","2021-09-26 23:30:17",34,2,"[[[3354.2625579833984,4349.78067800954],[3294.2625579833984,4407.06241013576],[3307.7625579833984,4420.569892820546],[3366.5125579833984,4362.787883557852]]]",245,,"ММ20_М20-210",,,TRUE,138,,,,3
4263,"2021-09-23 08:04:07","2021-10-08 15:04:54",34,6,"[[[3479.5796813020856,3975.5083898519956],[3441.085698762622,3934.0106607854805],[3495.5216319717583,3881.9209210271283],[3534.0156145112223,3922.4187048149324]]]",245,,"ММ20_М20-604.1",,,TRUE,142,,,,3
3501,"2021-09-17 11:11:16","2021-09-26 23:30:36",31,1,"[[[5618,6969],[5684.25,6909.75],[5707,6934.25],[5640,6994.5]]]",245,,"МА_101",,,TRUE,123,,,,3
3913,"2021-09-22 10:46:57","2021-09-26 23:30:02",33,3,"[[[2836.8548555374146,4507.610522270203],[2858.248359680176,4483.35551071167],[2905.1330585479736,4523.853278160095],[2884.022340774536,4548.45318031311]]]",1,,"ММ18_18-315",,,TRUE,133,,,,3
