id,code,campus_id
381,S219,1
396,S213,1
1536,D005,1
810,N505,1
289,D208,1
377,S207,1
123,N116,1
101,N117,1
102,N118,1
117,N119,1
116,N120,1
200,N202,1
197,N203,1
198,N204,1
124,R101,1
91,M110,1
191,N207,1
192,N208,1
193,N209,1
194,N210,1
537,N302,1
532,N303,1
533,N304,1
534,N305,1
535,N306,1
138,R107,1
1647,S007,1
1439,F101,1
157,S105,1
87,M106,1
388,S211,1
25,A105,1
26,A106,1
27,A107,1
28,A108,1
21,A109,1
22,A110,1
20,A111,1
19,A112,1
18,A113,1
17,A114,1
23,A115,1
246,A201,1
248,A202,1
247,A203,1
3487,A210,1
1534,D009,1
252,A204,1
249,A205,1
250,A206,1
251,A207,1
244,A208,1
245,A209,1
400,A301,1
405,A302,1
404,A303,1
409,A304,1
406,A305,1
407,A306,1
408,A307,1
401,A308,1
1540,D001,1
1541,D002,1
1542,D003,1
1535,D004,1
1537,D006,1
16,A102,1
24,A103,1
29,A104,1
1539,D008,1
57,D101,1
59,D102,1
56,D103,1
55,D104,1
62,D105,1
54,D106,1
1060,D603,1
58,D107,1
53,D108,1
52,D109,1
293,D201,1
295,D202,1
292,D203,1
291,D204,1
297,D205,1
290,D206,1
294,D207,1
288,D209,1
281,D210,1
282,D211,1
283,D212,1
488,D314,1
487,D315,1
486,D316,1
530,N301,1
478,D317,1
473,D318,1
989,S657,1
262,G216,1
1538,D007,1
474,D319,1
1077,D612,1
476,D321,1
477,D322,1
641,D401,1
640,D402,1
645,D403,1
646,D404,1
639,D405,1
635,D406,1
638,D407,1
644,D408,1
647,D409,1
643,D410,1
634,D411,1
628,D412,1
629,D413,1
630,D414,1
631,D415,1
633,D416,1
632,D417,1
642,D418,1
838,D501,1
842,D502,1
837,D503,1
833,D504,1
284,D213,1
285,D214,1
836,D505,1
841,D506,1
840,D507,1
832,D508,1
825,D509,1
827,D510,1
826,D511,1
828,D512,1
829,D513,1
831,D514,1
830,D515,1
839,D516,1
1058,D601,1
1059,D602,1
1061,D604,1
1057,D605,1
1062,D606,1
1063,D607,1
1056,D608,1
1079,D609,1
1080,D610,1
1078,D611,1
1076,D613,1
1075,D614,1
1074,D615,1
1072,D616,1
1073,D617,1
286,D215,1
1066,D618,1
1071,D619,1
1070,D620,1
1069,D621,1
1068,D622,1
1067,D623,1
1051,D624,1
1052,D625,1
1065,D626,1
1053,D627,1
1064,D628,1
1185,D701,1
1184,D703,1
1165,D704,1
1181,D705,1
1182,D706,1
1180,D707,1
1179,D708,1
1178,D709,1
1177,D710,1
1176,D711,1
1175,D712,1
1173,D713,1
1174,D714,1
1167,D715,1
1166,D716,1
1172,D717,1
1171,D718,1
1170,D719,1
1168,D720,1
1169,D721,1
1191,D722,1
1186,D723,1
1187,D724,1
1189,D725,1
1188,D726,1
1190,D727,1
1441,F201,1
1442,F301,1
1543,G001,1
1544,G002,1
1547,G003,1
1551,G005,1
1545,G006,1
1553,G007,1
1555,G008,1
1548,G009,1
1549,G010,1
1552,G011,1
61,G101,1
60,G102,1
40,G103,1
45,G104,1
41,G105,1
44,G106,1
42,G107,1
47,G108,1
256,G221,1
46,G109,1
48,G110,1
31,G111,1
30,G112,1
49,G113,1
34,G114,1
39,G115,1
38,G116,1
36,G117,1
37,G118,1
35,G119,1
33,G120,1
32,G121,1
199,N205,1
266,G201,1
264,G202,1
265,G203,1
269,G204,1
267,G205,1
268,G206,1
271,G207,1
270,G208,1
274,G209,1
254,G210,1
275,G211,1
253,G212,1
278,G213,1
258,G214,1
263,G215,1
260,G217,1
261,G218,1
259,G219,1
257,G220,1
255,G222,1
375,S208,1
423,G301,1
421,G302,1
422,G303,1
426,G304,1
424,G305,1
425,G306,1
428,G307,1
427,G308,1
431,G309,1
411,G310,1
432,G311,1
410,G312,1
435,G313,1
415,G314,1
420,G315,1
419,G316,1
417,G317,1
418,G318,1
416,G319,1
414,G320,1
413,G321,1
412,G322,1
637,G401,1
636,G402,1
658,G403,1
661,G404,1
659,G405,1
660,G406,1
663,G407,1
664,G408,1
662,G409,1
665,G410,1
397,S212,1
666,G411,1
648,G412,1
667,G413,1
668,G414,1
652,G415,1
657,G416,1
656,G417,1
654,G418,1
655,G419,1
653,G420,1
651,G421,1
650,G422,1
649,G423,1
835,G501,1
834,G502,1
857,G504,1
855,G505,1
856,G506,1
859,G507,1
860,G508,1
858,G509,1
861,G510,1
862,G511,1
844,G512,1
848,G513,1
849,G514,1
854,G515,1
853,G516,1
851,G517,1
852,G518,1
850,G519,1
847,G520,1
846,G521,1
1094,R601,1
845,G522,1
1055,G601,1
1054,G602,1
968,G603,1
969,G604,1
972,G605,1
970,G606,1
971,G607,1
975,G608,1
976,G609,1
973,G610,1
974,G611,1
977,G612,1
980,G613,1
1193,G701,1
1192,G702,1
1208,G703,1
1209,G704,1
1212,G705,1
1213,G706,1
1214,G707,1
1216,G708,1
1217,G709,1
1210,G710,1
1219,G711,1
1215,G712,1
1220,G713,1
1221,G714,1
1211,G715,1
1218,G716,1
1222,G717,1
1197,G718,1
1205,G719,1
133,R102,1
128,R103,1
127,R104,1
137,R106,1
141,R108,1
139,R109,1
130,R110,1
142,R111,1
1204,G720,1
1203,G721,1
1202,G722,1
1200,G723,1
1201,G724,1
1199,G725,1
1198,G726,1
132,R112,1
1196,G727,1
1195,G728,1
1194,G729,1
126,R113,1
140,R105,1
1206,G730,1
1207,G731,1
1559,K001,1
1558,K002,1
1560,K003,1
1561,K004,1
1562,K005,1
1557,K006,1
1556,K007,1
73,K101,1
74,K102,1
76,K103,1
77,K104,1
63,K105,1
64,K106,1
65,K107,1
75,K108,1
67,K110,1
66,K111,1
72,K112,1
70,K113,1
71,K114,1
69,K115,1
333,K201,1
329,K202,1
328,K203,1
327,K204,1
326,K205,1
325,K206,1
324,K207,1
322,K208,1
318,K209,1
331,K210,1
321,K212,1
320,K213,1
319,K214,1
332,K215,1
330,K216,1
323,K217,1
457,K301,1
458,K302,1
459,K303,1
470,K304,1
469,K305,1
468,K306,1
467,K307,1
466,K308,1
465,K309,1
464,K310,1
460,K311,1
471,K312,1
462,K314,1
461,K315,1
683,K401,1
681,K402,1
680,K403,1
682,K404,1
674,K405,1
669,K406,1
670,K407,1
671,K408,1
673,K409,1
672,K410,1
684,K411,1
686,K412,1
685,K413,1
676,K415,1
677,K416,1
678,K417,1
679,K418,1
874,K501,1
875,K502,1
876,K503,1
868,K504,1
865,K505,1
866,K506,1
867,K507,1
877,K508,1
879,K509,1
878,K510,1
870,K512,1
871,K513,1
872,K514,1
873,K515,1
1583,L001,1
1587,L002,1
1585,L003,1
2,L101,1
4,L102,1
3,L103,1
9,L104,1
8,L105,1
11,L106,1
7,L107,1
14,L108,1
10,L109,1
6,L111,1
5,L112,1
1,L113,1
306,L201,1
310,L202,1
309,L203,1
308,L204,1
307,L205,1
313,L206,1
314,L207,1
312,L208,1
316,L209,1
311,L210,1
315,L211,1
304,L212,1
305,L213,1
302,L214,1
301,L215,1
303,L216,1
300,L217,1
299,L218,1
298,L219,1
444,L301,1
447,L302,1
448,L303,1
449,L304,1
445,L305,1
446,L306,1
452,L307,1
451,L308,1
456,L309,1
450,L310,1
453,L311,1
454,L312,1
455,L313,1
442,L314,1
441,L315,1
443,L316,1
440,L317,1
439,L318,1
438,L319,1
694,L401,1
693,L402,1
692,L403,1
691,L404,1
690,L405,1
689,L406,1
688,L407,1
687,L408,1
705,L409,1
704,L410,1
706,L411,1
695,L412,1
696,L413,1
703,L414,1
697,L415,1
700,L416,1
701,L417,1
702,L418,1
125,R114,1
946,L502,1
955,L504,1
948,L505,1
949,L506,1
954,L507,1
950,L508,1
952,L509,1
951,L510,1
953,L511,1
1604,M001,1
1606,M002,1
1605,M003,1
1603,M004,1
1612,M005,1
1607,M006,1
1610,M007,1
1609,M008,1
98,M101,1
97,M102,1
96,M103,1
95,M104,1
94,M105,1
89,M108,1
88,M107,1
90,M109,1
93,M112,1
