start_vertex_id,end_vertex_id,cost,campus_id
4590,108,2.99,1
1052,6066,2.55,1
1028,6066,4.05,1
6066,6064,4.13,1
1060,6065,2.11,1
4542,1442,2.01,1
4546,2382,1.43,1
4562,2576,1.82,1
4555,2788,2.01,1
630,4587,10.27,1
2654,2653,1.56,1
2656,2655,2.29,1
2658,2657,2.0,1
2660,2659,2.11,1
2662,2661,2.2,1
2663,2644,9.0,1
2665,2664,18.07,1
2891,2880,9.0,1
2667,2666,3.99,1
2642,2668,2.52,1
2893,2894,1.62,1
2895,2896,1.67,1
2897,2898,1.82,1
2903,2904,9.49,1
2672,2671,1.97,1
2905,2906,5.96,1
2906,2907,1.13,1
2908,2909,9.0,1
2911,2912,2.0,1
2913,2914,1.89,1
2676,2675,2.19,1
2677,2676,3.0,1
2679,2678,2.39,1
2681,2680,1.97,1
2683,2682,3.9,1
2685,2684,2.07,1
2687,2686,1.83,1
2690,2689,1.92,1
2692,2691,2.89,1
2696,2695,1.82,1
2698,2697,2.7,1
2700,2699,2.77,1
2702,2701,2.81,1
2691,2703,1.97,1
2915,2916,8.35,1
2705,2704,1.87,1
2707,2706,1.97,1
2708,2707,1.57,1
2710,2709,1.6,1
2712,2711,1.5,1
2718,2717,2.61,1
2719,2695,1.56,1
2723,2722,2.47,1
2725,2724,2.68,1
2726,2720,2.61,1
2728,2727,2.4,1
2730,2729,2.23,1
2732,2731,1.91,1
2734,2733,1.36,1
2736,2735,1.92,1
2738,2737,1.73,1
2740,2739,2.01,1
2742,2741,2.11,1
2744,2743,4.27,1
2745,2744,2.19,1
2747,2746,1.81,1
2748,2747,2.89,1
2752,2751,2.55,1
2754,2753,1.94,1
2756,2755,2.49,1
2750,2756,3.33,1
2758,2757,2.0,1
2762,2761,2.56,1
2763,2762,2.16,1
2765,2764,1.77,1
2767,2766,2.18,1
2769,2768,2.56,1
2771,2770,2.39,1
2773,2772,2.27,1
2775,2774,3.24,1
2777,2776,2.6,1
2779,2778,2.97,1
2780,2779,2.49,1
2782,2781,2.88,1
2784,2783,2.79,1
2917,2918,1.02,1
2921,2922,9.0,1
2786,2785,2.54,1
2923,2924,1.74,1
2925,2926,9.0,1
2927,2928,9.0,1
2929,2930,1.76,1
2931,2932,1.72,1
2749,2787,4.93,1
1984,1341,2.0,1
804,1405,2.0,1
291,992,2.0,1
2788,2790,2.95,1
2792,2791,2.5,1
2933,2934,1.58,1
2935,2936,1.83,1
2937,2938,1.81,1
2938,2939,1.63,1
2940,2941,1.71,1
2942,2943,1.72,1
2944,2945,1.79,1
2946,2947,1.73,1
2948,2949,1.77,1
2950,2951,1.68,1
2952,2953,1.67,1
2953,2954,1.97,1
2955,2956,1.73,1
2957,2958,1.7,1
2959,2960,1.74,1
2960,2961,1.64,1
2963,2964,1.79,1
2965,2966,1.79,1
2967,2968,1.69,1
2969,2970,1.75,1
948,1536,2.0,1
