id,type,room_id,campus_id
7298,roomDoor,3494,1
7299,roomDoor,3495,1
7300,roomDoor,3500,1
7301,roomDoor,3497,1
7302,roomDoor,3499,1
7303,roomDoor,3498,1
7304,roomDoor,3496,1
7305,roomDoor,695,1
7306,corridor,-1,1
24,corridor,-1,1
25,roomDoor,166,1
26,corridor,-1,1
84,corridor,-1,1
85,corridor,-1,1
285,roomDoor,97,1
4490,stairs,-1,1
286,corridor,-1,1
287,roomDoor,96,1
288,corridor,-1,1
289,roomDoor,95,1
290,corridor,-1,1
291,elevator,-1,1
292,corridor,-1,1
293,roomDoor,89,1
384,corridor,-1,1
494,corridor,-1,1
495,roomDoor,60,1
496,corridor,-1,1
497,roomDoor,40,1
498,corridor,-1,1
499,stairs,-1,1
501,corridor,-1,1
502,corridor,-1,1
503,roomDoor,33,1
825,corridor,-1,1
826,corridor,-1,1
827,corridor,-1,1
828,corridor,-1,1
829,corridor,-1,1
830,corridor,-1,1
831,corridor,-1,1
832,corridor,-1,1
1030,stairs,-1,1
1031,elevator,-1,1
1032,corridor,-1,1
1033,roomDoor,251,1
1034,corridor,-1,1
1035,stairs,-1,1
1036,corridor,-1,1
1037,roomDoor,250,1
1038,corridor,-1,1
1039,roomDoor,249,1
1040,corridor,-1,1
1270,corridor,-1,1
1271,corridor,-1,1
1272,corridor,-1,1
1273,corridor,-1,1
1274,roomDoor,577,1
1275,roomDoor,578,1
1276,stairs,-1,1
1277,corridor,-1,1
1278,corridor,-1,1
1279,stairs,-1,1
1280,corridor,-1,1
1282,corridor,-1,1
1283,roomDoor,573,1
1284,corridor,-1,1
1285,roomDoor,564,1
1286,corridor,-1,1
1287,elevator,-1,1
1288,roomDoor,572,1
1289,corridor,-1,1
1290,roomDoor,568,1
1291,corridor,-1,1
1292,roomDoor,569,1
1293,corridor,-1,1
1294,roomDoor,573,1
1295,corridor,-1,1
1296,roomDoor,570,1
1297,corridor,-1,1
1299,corridor,-1,1
1300,roomDoor,570,1
1301,corridor,-1,1
2006,corridor,-1,1
28,corridor,-1,1
29,corridor,-1,1
30,corridor,-1,1
31,corridor,-1,1
32,corridor,-1,1
33,roomDoor,153,1
34,corridor,-1,1
35,corridor,-1,1
86,roomDoor,139,1
294,corridor,-1,1
295,corridor,-1,1
296,corridor,-1,1
297,corridor,-1,1
299,corridor,-1,1
300,roomDoor,88,1
301,corridor,-1,1
302,roomDoor,91,1
303,corridor,-1,1
304,roomDoor,90,1
305,corridor,-1,1
306,elevator,-1,1
504,corridor,-1,1
505,roomDoor,37,1
506,corridor,-1,1
507,roomDoor,36,1
508,corridor,-1,1
509,elevator,-1,1
510,corridor,-1,1
512,roomDoor,38,1
513,corridor,-1,1
833,corridor,-1,1
834,corridor,-1,1
835,corridor,-1,1
836,corridor,-1,1
837,corridor,-1,1
838,corridor,-1,1
839,corridor,-1,1
840,roomDoor,347,1
841,corridor,-1,1
842,roomDoor,346,1
843,stairs,-1,1
844,corridor,-1,1
845,corridor,-1,1
846,corridor,-1,1
847,corridor,-1,1
1041,roomDoor,252,1
1042,corridor,-1,1
1043,roomDoor,244,1
1044,corridor,-1,1
1045,roomDoor,244,1
1302,roomDoor,562,1
1303,corridor,-1,1
1304,roomDoor,575,1
1305,corridor,-1,1
1306,roomDoor,567,1
1308,corridor,-1,1
1309,roomDoor,574,1
1310,roomDoor,558,1
1311,corridor,-1,1
1312,roomDoor,557,1
1313,corridor,-1,1
1314,roomDoor,560,1
1315,corridor,-1,1
1316,roomDoor,561,1
1317,corridor,-1,1
1318,roomDoor,555,1
1319,corridor,-1,1
1321,roomDoor,566,1
1322,corridor,-1,1
1323,roomDoor,576,1
1324,corridor,-1,1
1325,corridor,-1,1
1884,roomDoor,757,1
2007,roomDoor,716,1
2008,corridor,-1,1
3,corridor,-1,1
193,roomDoor,104,1
194,roomDoor,116,1
195,roomDoor,110,1
196,corridor,-1,1
197,roomDoor,111,1
198,corridor,-1,1
199,roomDoor,112,1
200,corridor,-1,1
202,corridor,-1,1
203,roomDoor,120,1
422,corridor,-1,1
681,corridor,-1,1
682,roomDoor,214,1
683,roomDoor,214,1
684,corridor,-1,1
685,corridor,-1,1
686,corridor,-1,1
687,corridor,-1,1
688,corridor,-1,1
689,corridor,-1,1
690,stairs,-1,1
691,corridor,-1,1
986,roomDoor,224,1
987,corridor,-1,1
989,corridor,-1,1
990,roomDoor,216,1
991,corridor,-1,1
992,elevator,-1,1
993,corridor,-1,1
994,roomDoor,218,1
1690,roomDoor,452,1
1691,corridor,-1,1
1692,roomDoor,446,1
1693,corridor,-1,1
1694,roomDoor,449,1
1695,corridor,-1,1
1697,corridor,-1,1
1698,corridor,-1,1
1699,corridor,-1,1
1700,roomDoor,461,1
1701,corridor,-1,1
1702,roomDoor,462,1
1703,corridor,-1,1
1704,roomDoor,463,1
1705,corridor,-1,1
1706,corridor,-1,1
1707,corridor,-1,1
1708,roomDoor,471,1
1709,corridor,-1,1
1710,roomDoor,460,1
1711,corridor,-1,1
1713,corridor,-1,1
1715,corridor,-1,1
