id,type,room_id,campus_id
7305,roomDoor,695,1
25,roomDoor,166,1
285,roomDoor,97,1
287,roomDoor,96,1
289,roomDoor,95,1
293,roomDoor,89,1
495,roomDoor,60,1
497,roomDoor,40,1
503,roomDoor,33,1
1033,roomDoor,251,1
1037,roomDoor,250,1
1039,roomDoor,249,1
1274,roomDoor,577,1
1275,roomDoor,578,1
1283,roomDoor,573,1
1285,roomDoor,564,1
1288,roomDoor,572,1
1290,roomDoor,568,1
1292,roomDoor,569,1
1294,roomDoor,573,1
1296,roomDoor,570,1
1300,roomDoor,570,1
33,roomDoor,153,1
86,roomDoor,139,1
300,roomDoor,88,1
302,roomDoor,91,1
304,roomDoor,90,1
505,roomDoor,37,1
507,roomDoor,36,1
512,roomDoor,38,1
840,roomDoor,347,1
842,roomDoor,346,1
1041,roomDoor,252,1
1043,roomDoor,244,1
1045,roomDoor,244,1
1302,roomDoor,562,1
1304,roomDoor,575,1
1306,roomDoor,567,1
1309,roomDoor,574,1
1310,roomDoor,558,1
1312,roomDoor,557,1
1314,roomDoor,560,1
1316,roomDoor,561,1
1318,roomDoor,555,1
1321,roomDoor,566,1
1323,roomDoor,576,1
1884,roomDoor,757,1
2007,roomDoor,716,1
193,roomDoor,104,1
194,roomDoor,116,1
195,roomDoor,110,1
197,roomDoor,111,1
199,roomDoor,112,1
203,roomDoor,120,1
682,roomDoor,214,1
683,roomDoor,214,1
986,roomDoor,224,1
990,roomDoor,216,1
994,roomDoor,218,1
1690,roomDoor,452,1
1692,roomDoor,446,1
1694,roomDoor,449,1
1700,roomDoor,461,1
1702,roomDoor,462,1
1708,roomDoor,471,1
1710,roomDoor,460,1
1716,roomDoor,467,1
1886,roomDoor,756,1
1888,roomDoor,759,1
1890,roomDoor,760,1
1892,roomDoor,755,1
1895,roomDoor,766,1
1897,roomDoor,764,1
1901,roomDoor,780,1
2009,roomDoor,717,1
2011,roomDoor,721,1
205,roomDoor,102,1
207,roomDoor,123,1
209,roomDoor,117,1
211,roomDoor,118,1
692,roomDoor,213,1
698,roomDoor,203,1
700,roomDoor,207,1
701,roomDoor,203,1
1000,roomDoor,219,1
1155,roomDoor,327,1
1158,roomDoor,322,1
1159,roomDoor,324,1
1718,roomDoor,469,1
1722,roomDoor,468,1
1725,roomDoor,464,1
1728,roomDoor,465,1
1729,roomDoor,465,1
1732,roomDoor,459,1
1733,roomDoor,458,1
1903,roomDoor,770,1
1905,roomDoor,773,1
1909,roomDoor,710,1
1911,roomDoor,707,1
429,roomDoor,65,1
433,roomDoor,63,1
442,roomDoor,1,1
444,roomDoor,77,1
446,roomDoor,77,1
451,roomDoor,73,1
453,roomDoor,70,1
1002,roomDoor,235,1
1163,roomDoor,285,1
1165,roomDoor,286,1
1167,roomDoor,284,1
1168,roomDoor,287,1
1170,roomDoor,283,1
1172,roomDoor,282,1
1180,roomDoor,288,1
1182,roomDoor,293,1
1184,roomDoor,289,1
1186,roomDoor,295,1
1190,roomDoor,294,1
1192,roomDoor,291,1
1194,roomDoor,297,1
1196,roomDoor,290,1
456,roomDoor,72,1
461,roomDoor,52,1
463,roomDoor,57,1
1006,roomDoor,238,1
1009,roomDoor,236,1
1012,roomDoor,231,1
1014,roomDoor,234,1
1016,roomDoor,222,1
1202,roomDoor,256,1
1204,roomDoor,266,1
1206,roomDoor,264,1
1208,roomDoor,265,1
1216,roomDoor,259,1
1218,roomDoor,261,1
1220,roomDoor,260,1
1224,roomDoor,269,1
1225,roomDoor,262,1
1227,roomDoor,258,1
1939,roomDoor,742,1
1941,roomDoor,737,1
1943,roomDoor,709,1
1944,roomDoor,739,1
1946,roomDoor,743,1
1952,roomDoor,752,1
1954,roomDoor,748,1
1956,roomDoor,744,1
1958,roomDoor,747,1
16,roomDoor,171,1
18,roomDoor,167,1
19,roomDoor,168,1
78,roomDoor,154,1
465,roomDoor,53,1
469,roomDoor,56,1
471,roomDoor,58,1
473,roomDoor,55,1
475,roomDoor,62,1
477,roomDoor,54,1
1020,roomDoor,228,1
1021,roomDoor,230,1
1025,roomDoor,220,1
1233,roomDoor,263,1
1234,roomDoor,278,1
1236,roomDoor,267,1
1238,roomDoor,268,1
1239,roomDoor,267,1
1240,roomDoor,271,1
1241,roomDoor,268,1
1242,roomDoor,274,1
1243,roomDoor,254,1
1248,roomDoor,274,1
1250,roomDoor,275,1
1253,roomDoor,254,1
1255,roomDoor,254,1
1256,roomDoor,254,1
1257,roomDoor,254,1
1962,roomDoor,740,1
1963,roomDoor,738,1
1965,roomDoor,722,1
1967,roomDoor,713,1
1969,roomDoor,718,1
1971,roomDoor,714,1
1975,roomDoor,715,1
1977,roomDoor,729,1
1978,roomDoor,731,1
4202,roomDoor,1609,1
4205,roomDoor,1607,1
4208,roomDoor,1612,1
4209,roomDoor,1612,1
4212,roomDoor,1603,1
4214,roomDoor,1612,1
4215,roomDoor,1612,1
4216,roomDoor,1603,1
4218,roomDoor,1603,1
4219,roomDoor,1605,1
4221,roomDoor,1606,1
4277,roomDoor,1631,1
4280,roomDoor,1634,1
4282,roomDoor,1629,1
4285,roomDoor,1647,1
4287,roomDoor,1647,1
4289,roomDoor,1630,1
4291,roomDoor,1628,1
4293,roomDoor,1635,1
4295,roomDoor,1647,1
4297,roomDoor,1646,1
4299,roomDoor,1645,1
4301,roomDoor,1648,1
4307,roomDoor,1636,1
4312,roomDoor,1627,1
4313,roomDoor,1627,1
4314,roomDoor,1649,1
4315,roomDoor,1649,1
4317,roomDoor,1641,1
4318,roomDoor,1627,1
4319,roomDoor,1627,1
4323,roomDoor,1627,1
4326,roomDoor,1617,1
4334,roomDoor,1582,1
4335,roomDoor,1582,1
4338,roomDoor,1581,1
4340,roomDoor,1580,1
4342,roomDoor,1580,1
4344,roomDoor,1577,1
4351,roomDoor,1564,1
4353,roomDoor,1568,1
4357,roomDoor,1565,1
4361,roomDoor,1563,1
4365,roomDoor,1574,1
4368,roomDoor,1574,1
4370,roomDoor,1573,1
4371,roomDoor,1573,1
4376,roomDoor,1575,1
4386,roomDoor,1585,1
4392,roomDoor,1562,1
4394,roomDoor,1587,1
4396,roomDoor,1583,1
4398,roomDoor,1560,1
4400,roomDoor,1557,1
4402,roomDoor,1559,1
4409,roomDoor,1541,1
4413,roomDoor,1540,1
4416,roomDoor,1535,1
4418,roomDoor,1542,1
4423,roomDoor,1536,1
4424,roomDoor,1537,1
4426,roomDoor,1538,1
4429,roomDoor,1534,1
4430,roomDoor,1534,1
4432,roomDoor,1539,1
4433,roomDoor,1539,1
3523,roomDoor,1227,1
3524,roomDoor,1238,1
3526,roomDoor,1236,1
3530,roomDoor,1250,1
3533,roomDoor,1241,1
3535,roomDoor,1243,1
3537,roomDoor,1226,1
3540,roomDoor,1224,1
3542,roomDoor,1225,1
3543,roomDoor,1240,1
3545,roomDoor,1289,1
3549,roomDoor,1287,1
3555,roomDoor,1288,1
3558,roomDoor,1267,1
3563,roomDoor,1262,1
3565,roomDoor,1264,1
4443,roomDoor,1552,1
4445,roomDoor,1543,1
4449,roomDoor,1544,1
4451,roomDoor,1547,1
4453,roomDoor,1546,1
4455,roomDoor,1551,1
4462,roomDoor,1549,1
4465,roomDoor,1553,1
4470,roomDoor,1548,1
4478,roomDoor,1555,1
4479,roomDoor,1553,1
3567,roomDoor,1282,1
3568,roomDoor,1270,1
3570,roomDoor,1265,1
3571,roomDoor,1260,1
3573,roomDoor,1261,1
3575,roomDoor,1259,1
3579,roomDoor,1285,1
3581,roomDoor,1256,1
3583,roomDoor,1253,1
3592,roomDoor,1252,1
3595,roomDoor,1275,1
3598,roomDoor,1281,1
3599,roomDoor,1266,1
3601,roomDoor,1276,1
3605,roomDoor,1257,1
3606,roomDoor,1258,1
3608,roomDoor,1254,1
3609,roomDoor,1290,1
3611,roomDoor,1251,1
3612,roomDoor,1269,1
3615,roomDoor,1255,1
3617,roomDoor,1271,1
3619,roomDoor,1274,1
3621,roomDoor,1277,1
3623,roomDoor,1284,1
3625,roomDoor,1280,1
3626,roomDoor,1272,1
3631,roomDoor,1358,1
3634,roomDoor,1355,1
3636,roomDoor,1343,1
3638,roomDoor,1353,1
3640,roomDoor,1342,1
3644,roomDoor,1348,1
